=== fh1 xex post-import recon ===
program: default.bin
language: PowerPC:BE:32:default
base: 82000000

--- RTTI class names (.?AV...@@) ---
(0 RTTI names dumped)

--- defined strings in .rdata with code xrefs (top 600 by ref count) ---
  refs=3  va=820e5d88  'Forza.WebServices.Hopper, Forza.WebServices'
  refs=3  va=820d07ac  'zlib error'
  refs=3  va=820c6370  'Volume'
  refs=3  va=820993d8  'IDS_Time'
  refs=3  va=82098e84  'IDS_Pause'
  refs=3  va=820979ec  'IDS_Save'
  refs=3  va=82097900  'IDS_Restrictions'
  refs=3  va=820940e0  'IDS_Laps'
  refs=3  va=82092848  'IDS_Controller'
  refs=3  va=82092544  'IDS_FastTravel'
  refs=3  va=82092508  'IDS_Mulligan'
  refs=3  va=82092410  'IDS_Restart'
  refs=3  va=8209230c  'IDS_Map'
  refs=3  va=82091e60  'IDS_Benchmark'
  refs=3  va=82091a10  'IDS_Multiplayer'
  refs=3  va=8207796c  ' AND Id='
  refs=3  va=8206bd3c  'SHOW_WRISTBAND'
  refs=3  va=82058980  'OUT_HIDDEN'
  refs=3  va=820580e0  'SHOWTOTALTIME'
  refs=3  va=820580d0  'HIDETOTALTIME'
  refs=3  va=82057434  'SELECT ShortDisplayName FROM Environments WHERE id='
  refs=3  va=820534a4  'SHOW_WARNING'
  refs=3  va=8204850c  'PLAY_INTRO'
  refs=3  va=8204767c  'nextToEventLeaderboard'
  refs=3  va=820452e8  'ENLARGE_PHOTO'
  refs=3  va=82045030  'SHOW_LOADING'
  refs=3  va=82045024  'SHOW_CAR'
  refs=3  va=82044664  'IDS_DLCCar'
  refs=3  va=82043c54  'Scoreboard'
  refs=3  va=820432f8  'COMPONENT_TRACK_LOGO_LIST'
  refs=3  va=820414a0  'HIDE_STATUS_TEXT'
  refs=3  va=8204148c  'SHOW_STATUS_TEXT'
  refs=3  va=82040674  'COMPONENT_END_OF_RACE_COUNTDOWN'
  refs=3  va=82040358  '6_C_INI_UNLOADING'
  refs=3  va=82040324  '999_DEV_ATTRACT'
  refs=3  va=82040270  'H_EVENT_SUMMARY'
  refs=3  va=820401d0  '516_I_EFFECTSMODE'
  refs=3  va=8203fee0  '507_C_LIV_POSITION'
  refs=3  va=8203fe70  '17_DYNAMIC_LOADING_FREEPLAY'
  refs=3  va=8203fa88  'H_POST_MISSION'
  refs=3  va=8203c964  'TEXT_EARNINGS'
  refs=3  va=8203bd68  'okRivals'
  refs=3  va=82036978  'AuctionHouse'
  refs=3  va=8202ce90  'Lobby'
  refs=3  va=82028f08  ' WHERE Ordinal='
  refs=3  va=82025870  'IsNewFile'
  refs=3  va=82024460  'animation'
  refs=3  va=820220fc  'Count'
  refs=3  va=8201e400  'Pitch'
  refs=3  va=8201cd2c  'Livery'
  refs=3  va=8201caa8  'MakeId'
  refs=3  va=8201bba0  'Game:\\Media\\Cars\\shared\\ShaderSettings\\Normal.xml;Game:\\Media\\Cars\\shared\\ShaderSettings\\Metallic.xml'
  refs=3  va=8201b998  'Game:\\Media\\Cars\\shared\\ShaderSettings\\Normal.xml'
  refs=3  va=8201a2b8  '_slod'
  refs=3  va=82019d7c  'Thumbnail'
  refs=3  va=82012310  'DrivetypeID'
  refs=3  va=82011c0c  'Transmission'
  refs=3  va=8200a63c  'EventId'
  refs=3  va=8200a2c0  'DevBVT_PerfCar'
  refs=3  va=82009dbc  'CareerTypeId'
  refs=3  va=8200909c  'MakeID'
  refs=3  va=82005538  'SHOWN'
  refs=3  va=82005378  'INTRO'
  refs=2  va=832bc34c  '.?AVCDynamicRenderParticleRateScaleControl@@'
  refs=2  va=8324bb08  '.?AVCHeadTrackingSetup@ForzaUI@@'
  refs=2  va=822d7938  '%s\\%d.%s.%s'
  refs=2  va=822b0eb0  '( aOperand[i] == aRegs[i]->GetIndex() ) || ( aOperand[i] == aRegs[i]->GetUsage() )'
  refs=2  va=822b0e84  'aOperandType[i] == aRegs[i]->GetType()'
  refs=2  va=822b0e78  'aRegs[i]'
  refs=2  va=822ad498  '%s (%d) : %d\n'
  refs=2  va=8227bf48  '..\\src\\fmod_speakerlevels_pool.cpp'
  refs=2  va=8227bc7c  '..\\src\\fmod_output_emulated.cpp'
  refs=2  va=8227b900  'FMOD geometry thread'
  refs=2  va=822792e0  'MNG features are not allowed in a PNG datastream'
  refs=2  va=82241ff8  'FaceIndex: %d'
  refs=2  va=82240328  'hood*'
  refs=2  va=82240320  'mirror*'
  refs=2  va=82240318  'cage*'
  refs=2  va=8223fb70  '_SLOD'
  refs=2  va=8223f8c4  'detail_glass'
  refs=2  va=8223f8bc  'light'
  refs=2  va=8223f5e0  'ZOnly'
  refs=2  va=8223f238  'wheel_black'
  refs=2  va=8223e3f8  'numberplate'
  refs=2  va=8223e240  'undercarriage'
  refs=2  va=8223dd8c  'CDriverHands::Preload'
  refs=2  va=82239d34  'game:\\Media\\tracks\\'
  refs=2  va=8222faa4  'CCarLivery::LoadLiveryElements'
  refs=2  va=822294bc  'bfont'
  refs=2  va=822294b4  'vfont'
  refs=2  va=822293c4  'VE:%d'
  refs=2  va=82141928  'interior'
  refs=2  va=82141908  'steering_wheel'
  refs=2  va=821418c8  'glassF'
  refs=2  va=82140fe4  'Id FROM List_Upgrade'
  refs=2  va=8213fd58  'MomentInertia'
  refs=2  va=8213b82c  'VW_BORAVR6_03'
  refs=2  va=8213b3b0  'FocusPEQ'
  refs=2  va=8213b3a4  'Distortion'
  refs=2  va=8213b390  'VolumeCompensate'
  refs=2  va=8213b384  'Compressor'
  refs=2  va=8213b354  'ShiftVolumeScalar'
  refs=2  va=8213b2ec  'HeavyBraking'
  refs=2  va=8213b2b0  'TrashDSP'
